,campaign_id,campaign_name,org_id,start_date,end_date,budget,clicks,impressions,conversions
0,1,Campaign_1,37,2014-12-11,2015-01-10,44218.7,7759,56853,193
1,2,Campaign_2,37,2014-06-12,2014-07-12,13240.16,253,89930,335
2,3,Campaign_3,37,2014-08-15,2014-09-14,39532.8,6257,11899,466
3,4,Campaign_4,37,2014-08-13,2014-09-12,38025.62,2173,32302,343
4,5,Campaign_5,37,2014-06-17,2014-07-17,31535.84,5387,4917,317
5,1,Campaign_1,74,2014-10-09,2014-11-08,40836.94,9105,68167,43
6,2,Campaign_2,74,2014-08-25,2014-09-24,29787.6,5471,56383,234
7,3,Campaign_3,74,2014-07-11,2014-08-10,38934.48,501,78969,473
8,4,Campaign_4,74,2014-01-16,2014-02-15,27610.57,6366,93424,366
9,5,Campaign_5,74,2014-01-03,2014-02-02,20571.02,818,12205,7
10,1,Campaign_1,318,2014-11-15,2014-12-15,38937.16,1711,80791,143
11,2,Campaign_2,318,2014-11-11,2014-12-11,41842.18,5872,10626,94
12,3,Campaign_3,318,2014-02-27,2014-03-29,35443.93,2374,90735,37
13,4,Campaign_4,318,2014-10-12,2014-11-11,13976.64,6491,33375,379
14,5,Campaign_5,318,2014-10-18,2014-11-17,9646.17,1256,58353,76
15,1,Campaign_1,98,2014-02-28,2014-03-30,42689.52,5180,34276,74
16,2,Campaign_2,98,2014-04-05,2014-05-05,31300.54,5544,8460,151
17,3,Campaign_3,98,2014-09-21,2014-10-21,34280.12,7866,73046,182
18,4,Campaign_4,98,2014-01-04,2014-02-03,11592.08,8902,32228,148
19,5,Campaign_5,98,2014-02-22,2014-03-24,6185.6,6639,7210,181
20,1,Campaign_1,32,2014-01-05,2014-02-04,2674.16,4739,95674,453
21,2,Campaign_2,32,2014-11-27,2014-12-27,22447.99,4055,31303,441
22,3,Campaign_3,32,2014-09-27,2014-10-27,12772.23,7827,61993,87
23,4,Campaign_4,32,2014-02-26,2014-03-28,42264.99,5934,74105,333
24,5,Campaign_5,32,2014-08-16,2014-09-15,6269.94,389,15166,108
25,1,Campaign_1,0,2014-08-06,2014-09-05,35775.88,3332,46408,444
26,2,Campaign_2,0,2014-07-10,2014-08-09,3807.85,2358,75785,102
27,3,Campaign_3,0,2014-05-08,2014-06-07,11792.74,5695,27297,421
28,4,Campaign_4,0,2014-08-04,2014-09-03,49368.24,6946,43223,51
29,5,Campaign_5,0,2014-09-20,2014-10-20,26162.53,947,58575,396
30,1,Campaign_1,51,2014-09-01,2014-10-01,9329.86,9205,66264,109
31,2,Campaign_2,51,2014-08-08,2014-09-07,47365.08,9947,84490,86
